team_id_lnp,team_name,voiv,league
19032,Pilica Białobrzegi,Mazowieckie,III liga
19033,Znicz Biała Piska,Warmińsko-Mazurskie,III liga
19034,GKS Wikielec,Warmińsko-Mazurskie,III liga
19035,Świt Nowy Dwór Mazowiecki,Mazowieckie,III liga
19036,ŁKS II Łódź,Łódzkie,III liga
19037,Ursus Warszawa,Mazowieckie,III liga
19038,Pelikan Łowicz,Łódzkie,III liga
19039,Sokół Aleksandrów Łódzki,Łódzkie,III liga
19040,Legia II Warszawa,Mazowieckie,III liga
23725,Wigry Suwałki,Podlaskie,II liga
23673,Termalica Bruk-Bet Nieciecza,Małopolskie,Ekstraklasa
23674,Stal Mielec,Podkarpackie,Ekstraklasa
23675,Lech Poznań,Wielkopolskie,Ekstraklasa
23676,Radomiak Radom,Mazowieckie,Ekstraklasa
23677,Górnik Łęczna,Lubelskie,Ekstraklasa
23678,Cracovia Kraków,Małopolskie,Ekstraklasa
23679,Jagiellonia Białystok,Podlaskie,Ekstraklasa
23680,Lechia Gdańsk,Pomorskie,Ekstraklasa
23681,Legia Warszawa,Mazowieckie,Ekstraklasa
23682,Wisła Płock,Mazowieckie,Ekstraklasa
23683,Piast Gliwice,Śląskie,Ekstraklasa
23684,Raków Częstochowa,Śląskie,Ekstraklasa
23685,Śląsk Wrocław,Dolnośląskie,Ekstraklasa
23686,Warta Poznań,Wielkopolskie,Ekstraklasa
23687,Pogoń Szczecin,Zachodniopomorskie,Ekstraklasa
23688,Górnik Zabrze,Śląskie,Ekstraklasa
23689,Wisła Kraków,Małopolskie,Ekstraklasa
23690,Zagłębie Lubin,Dolnośląskie,Ekstraklasa
23691,Odra Opole,Opolskie,I liga
23692,Miedź Legnica,Dolnośląskie,I liga
23693,Korona Kielce,Świętokrzyskie,I liga
23694,Skra Częstochowa,Śląskie,I liga
23695,GKS Tychy,Śląskie,I liga
23696,ŁKS Łódź,Łódzkie,I liga
23697,GKS Katowice,Śląskie,I liga
23698,Resovia Rzeszów,Podkarpackie,I liga
23699,GKS Jastrzębie,Śląskie,I liga
23700,Puszcza Niepołomice,Małopolskie,I liga
23701,Arka Gdynia,Pomorskie,I liga
23702,Zagłębie Sosnowiec,Śląskie,I liga
23703,Widzew Łódź,Łódzkie,I liga
23704,Sandecja Nowy Sącz,Małopolskie,I liga
23705,Górnik Polkowice,Dolnośląskie,I liga
23706,Podbeskidzie Bielsko-Biała,Śląskie,I liga
23707,Stomil Olsztyn,Warmińsko-Mazurskie,I liga
23708,Chrobry Głogów,Dolnośląskie,I liga
23709,Ruch Chorzów,Śląskie,II liga
23710,Pogoń Siedlce,Mazowieckie,II liga
23711,Znicz Pruszków,Mazowieckie,II liga
23713,Radunia Stężyca,Pomorskie,II liga
23714,Lech II Poznań,Wielkopolskie,II liga
23715,Sokół Ostróda,Warmińsko-Mazurskie,II liga
23717,KKS Kalisz,Wielkopolskie,II liga
23719,Wisła Puławy,Lubelskie,II liga
23721,Stal Rzeszów,Podkarpackie,II liga
23722,Garbarnia Kraków,Małopolskie,II liga
23723,Śląsk II Wrocław,Dolnośląskie,II liga
23724,Hutnik Kraków,Małopolskie,II liga
23726,Chojniczanka Chojnice,Pomorskie,II liga
23712,Motor Lublin,Lubelskie,II liga
23716,Pogoń Grodzisk Maz.,Mazowieckie,II liga
23718,Olimpia Elbląg,Warmińsko-Mazurskie,II liga
23720,GKS Bełchatów,Łódzkie,II liga
